Date,NumNewsAllAll,AvgToneAllAll,StdToneAllAll,CvToneAllAll,NumNewsAllSpan,AvgToneAllSpan,StdToneAllSpan,CvToneAllSpan,NumNewsAllEng,AvgToneAllEng,StdToneAllEng,CvToneAllEng,NumNewsFullLan,AvgToneFullLan,StdToneFullLan,CvToneFullLan,NumNewsFullSpan,AvgToneFullSpan,StdToneFullSpan,CvToneFullSpan,NumNewsFullEng,AvgToneFullEng,StdToneFullEng,CvToneFullEng,NumNewsCmpLan,AvgToneCmpLan,StdToneCmpLan,CvToneCmpLan,NumNewsCmpSpan,AvgToneCmpSpan,StdToneCmpSpan,CvToneCmpSpan,NumNewsCmpEng,AvgToneCmpEng,StdToneCmpEng,CvToneCmpEng,NumNewsCtyLan,AvgToneCtyLan,StdToneCtyLan,CvToneCtyLan,NumNewsCtySpan,AvgToneCtySpan,StdToneCtySpan,CvToneCtySpan,NumNewsCtyEng,AvgToneCtyEng,StdToneCtyEng,CvToneCtyEng,NumNewsGovLan,AvgToneGovLan,StdToneGovLan,CvToneGovLan,NumNewsGovSpan,AvgToneGovSpan,StdToneGovSpan,CvToneGovSpan,NumNewsGovEng,AvgToneGovEng,StdToneGovEng,CvToneGovEng
20150301,836,-1.573255324,2.99219681,-1.902055045,392,-1.379253939,3.109304149,-2.15193207,76,-2.637723654,2.755716509,-1.797897352,28,-4.271228704,2.821985575,-1.604624041,22,-3.901361243,3.006426744,-1.660842566,6,-5.627409394,1.863896199,-1.229675097,20,-5.098649998,2.431518694,-0.973562545,14,-4.872038828,2.557443087,-0.894443076,6,-5.627409394,1.863896199,-1.229675097,4,-1.945765419,2.661872337,-1.855137917,4,-2.459585522,2.661872337,-1.855137917,0,NA,,,4,-2.459585522,2.580336399,1.154700538,4,-1.945765419,2.580336399,1.154700538,0,NA,,
20150302,922,-2.002574647,3.041686512,-1.696506745,364,-1.958852013,3.095268135,-2.390881692,126,-2.26245281,3.068659322,-1.646298756,22,-4.025468662,3.070199881,-1.465740687,9,-2.574054391,2.75622657,-1.45031488,13,-5.030293927,3.369499826,-1.474918967,16,-4.622193864,3.111857236,-1.301996941,3,-2.853760259,2.563848325,-0.983852548,13,-5.030293927,3.369499826,-1.474918967,0,NA,2.291221398,-1.170742447,6,-2.434201457,2.291221398,-1.170742447,0,NA,,,6,-2.434201457,2.580336399,1.154700538,0,NA,2.580336399,1.154700538,0,NA,,
20150303,855,-2.215553934,3.055666737,-1.584050855,401,-2.041563606,3.110349302,-1.864113016,98,-2.69190056,3.183864848,-1.696507644,28,-2.278633801,2.964883387,-1.338132247,24,-1.870142692,2.757109773,-1.236369244,4,-4.729580454,3.316661103,-1.513401566,11,-3.40281189,3.043016398,-1.297151132,7,-2.644658425,2.627832064,-1.022304734,4,-4.729580454,3.316661103,-1.513401566,6,-1.38978822,2.257267064,-1.049714232,11,-1.639280573,2.257267064,-1.049714232,0,NA,,,11,-1.639280573,3.565369272,-2.003364551,6,-1.38978822,3.565369272,-2.003364551,0,NA,,
20150304,1030,-2.942362775,3.231284387,-1.458652509,455,-2.865964487,3.242804023,-2.213522992,140,-3.068961211,3.353331553,-1.446014375,21,-4.910303702,3.104384481,-1.277901134,15,-4.353997278,2.839232562,-1.206538948,6,-6.301069761,3.532552677,-1.380794832,11,-6.041818817,3.173667991,-1.219317943,5,-5.730717684,2.56316319,-0.959265574,6,-6.301069761,3.532552677,-1.380794832,0,NA,2.695273699,-1.145445475,10,-3.665637074,2.695273699,-1.145445475,0,NA,,,10,-3.665637074,3.565369272,-2.003364551,0,NA,3.565369272,-2.003364551,0,NA,,
20150305,983,-2.67913981,3.375082275,-1.458990324,393,-2.44114339,3.392556442,-3.10837091,137,-3.445852144,3.492046593,-1.393592429,29,-3.611242838,3.309234358,-1.201386861,18,-2.421569515,3.245959659,-1.174652989,11,-5.557981002,3.439476744,-1.255637815,18,-4.557482328,3.249173077,-1.144662529,7,-2.985270125,2.986569605,-1.002349043,11,-5.557981002,3.439476744,-1.255637815,5,-2.505999766,2.731971483,-1.170268761,6,-1.693560262,2.731971483,-1.170268761,0,NA,,,6,-1.693560262,4.430321738,-1.418732884,5,-2.505999766,4.430321738,-1.418732884,0,NA,,
20150306,875,-2.648792438,3.466746371,-1.465330499,380,-1.978214541,3.500803891,-1.75762277,115,-3.622478641,3.581598896,-1.45552738,23,-4.452266472,3.538698785,-1.284801739,11,-2.376550058,3.342478901,-1.224924851,12,-6.355006518,3.825633412,-1.370376237,16,-5.008594347,3.572512692,-1.252658258,4,-0.969357834,3.151574092,-1.068690976,12,-6.355006518,3.825633412,-1.370376237,1,1.369863014,2.902147634,-1.310520831,6,-3.939080386,2.902147634,-1.310520831,0,NA,,,6,-3.939080386,4.399758492,-1.350960773,1,1.369863014,4.399758492,-1.350960773,0,NA,,
20150307,597,-1.826797197,3.468203819,-1.499699538,284,-2.018387205,3.498340311,-1.461460303,58,-1.470970011,3.594281367,-1.512023998,30,-2.489609184,3.410478502,-1.239334825,28,-2.359005412,3.180140081,-1.187511426,2,-4.318062,3.770973775,-1.312670968,14,-3.083218093,3.416751442,-1.198240212,12,-2.877410775,2.892992386,-1.024930385,2,-4.318062,3.770973775,-1.312670968,13,-1.832245626,3.038241285,-1.293780805,3,-2.568009694,3.038241285,-1.293780805,0,NA,,,3,-2.568009694,3.938911461,-1.365349829,13,-1.832245626,3.938911461,-1.365349829,0,NA,,
20150308,620,-1.411995424,3.438791466,-1.542416181,279,-1.208003445,3.463242503,-1.937936857,75,-2.325234449,3.572603956,-1.570810237,32,-3.656436486,3.44757473,-1.450724629,26,-3.382884263,3.25800644,-1.511996843,6,-4.84182945,3.741146916,-1.351741737,11,-4.755922744,3.446108969,-1.278283171,5,-4.652834698,2.979503692,-1.150182162,6,-4.84182945,3.741146916,-1.351741737,5,-1.791955741,3.039346672,-1.481464659,16,-3.483189915,3.039346672,-1.481464659,0,NA,,,16,-3.483189915,3.858230554,-2.335560281,5,-1.791955741,3.858230554,-2.335560281,0,NA,,
20150309,849,-1.844627736,3.416864855,-1.562798739,334,-1.722809094,3.435473273,-1.753503359,143,-1.945576082,3.532294946,-1.647246363,20,-2.093638934,3.397380578,-1.470870266,18,-1.954163398,3.232701128,-1.501177482,2,-3.348918761,3.648734965,-1.422066303,7,-3.007999508,3.382753774,-1.29628023,5,-2.871631807,2.9362638,-1.096336084,2,-3.348918761,3.648734965,-1.422066303,6,0.390746742,3.058243779,-1.478758734,7,-3.308751797,3.058243779,-1.478758734,0,NA,,,7,-3.308751797,3.751229698,-2.509767771,6,0.390746742,3.751229698,-2.509767771,0,NA,,
20150310,1191,-2.482070613,3.407131889,-1.530209564,410,-2.027667788,3.430730496,-2.144019826,212,-2.959450889,3.452779195,-1.581817262,35,-1.596472642,3.325236514,-1.445502779,32,-1.248361757,3.170427868,-1.47577335,3,-5.30965541,3.573779258,-1.39370878,13,-0.879842175,3.308821752,-1.319097979,10,0.449101796,2.881764762,-1.188523456,3,-5.30965541,3.573779258,-1.39370878,10,-1.301530288,3.085595014,-1.449664701,12,-2.61860761,3.085595014,-1.449664701,0,NA,,,12,-2.61860761,3.584010684,-1.967941937,10,-1.301530288,3.584010684,-1.967941937,0,NA,,
20150311,1076,-1.817391369,3.38151187,-1.54990026,399,-1.454897445,3.402645369,-1.734012363,176,-2.508237806,3.406944787,-1.630700756,21,-2.414469015,3.309124386,-1.434267465,18,-1.903212869,3.156742984,-1.451011599,3,-5.482005892,3.568155699,-1.401224713,9,-2.930033294,3.296504276,-1.321582631,6,-1.654046995,2.885534502,-1.19190989,3,-5.482005892,3.568155699,-1.401224713,6,-0.875989881,3.06682122,-1.395702179,6,-3.179601732,3.06682122,-1.395702179,0,NA,,,6,-3.179601732,3.584010684,-1.967941937,6,-0.875989881,3.584010684,-1.967941937,0,NA,,
20150312,955,-1.777430237,3.382402102,-1.576171599,379,-1.87078661,3.406056729,-1.679448107,144,-1.640246113,3.42029535,-1.685297488,14,-4.300927302,3.317389136,-1.471203303,11,-4.50311347,3.139998762,-1.470587894,3,-3.559578019,3.614376588,-1.463679963,5,-4.386626061,3.318937577,-1.363396169,2,-5.627198124,2.860947789,-1.199899186,3,-3.559578019,3.614376588,-1.463679963,5,-4.383900687,3.100876424,-1.451218092,4,-4.090087121,3.100876424,-1.451218092,0,NA,,,4,-4.090087121,3.523020417,-1.955734581,5,-4.383900687,3.523020417,-1.955734581,0,NA,,
20150313,1090,-1.972670549,3.375071989,-1.584632088,426,-1.905018939,3.402902238,-2.394988396,147,-1.928385587,3.40943416,-1.69484067,29,-4.047219813,3.294868519,-1.44962122,23,-4.159200481,3.120039442,-1.44045728,6,-3.617960587,3.606220824,-1.456086885,13,-3.16809981,3.305093603,-1.339826503,7,-2.782504858,2.843393705,-1.159171063,6,-3.617960587,3.606220824,-1.456086885,3,-2.301914549,3.092139437,-1.37734948,13,-5.329102569,3.092139437,-1.37734948,0,NA,,,13,-5.329102569,3.457622991,-2.026758905,3,-2.301914549,3.457622991,-2.026758905,0,NA,,
20150314,718,-1.681320081,3.368574936,-1.600740988,304,-1.819655203,3.387440471,-3.350951345,74,-1.855876354,3.409421789,-1.723421235,34,-3.04448907,3.242469719,-1.436065889,30,-2.891079323,3.073629869,-1.417545588,4,-4.195062174,3.558413866,-1.460427563,12,-2.733665358,3.25871882,-1.337056875,8,-2.00296695,2.832614525,-1.161803367,4,-4.195062174,3.558413866,-1.460427563,14,-3.808308485,3.041092185,-1.380299727,8,-2.17404066,3.041092185,-1.380299727,0,NA,,,8,-2.17404066,3.392468401,-1.915931432,14,-3.808308485,3.392468401,-1.915931432,0,NA,,
20150315,622,-1.401529892,3.358090002,-1.621253733,297,-1.394454436,3.380027418,-1.721562723,62,-2.176798086,3.381711365,-1.729257975,29,-2.62216992,3.151618233,-1.467254581,25,-2.209463592,2.994426042,-1.462051024,4,-5.201584465,3.492860032,-1.46520603,11,-4.241754847,3.181514641,-1.366808942,7,-3.693280779,2.769540098,-1.225558964,4,-5.201584465,3.492860032,-1.46520603,12,-1.465811092,2.985263368,-1.406619554,6,-1.965648543,2.985263368,-1.406619554,0,NA,,,6,-1.965648543,3.219395045,-1.831472049,12,-1.465811092,3.219395045,-1.831472049,0,NA,,
20150316,772,-1.282375728,3.350039393,-1.652107223,345,-1.259334418,3.374532228,-1.712610231,112,-1.537304564,3.373544881,-1.780760907,26,-1.304584131,3.166081293,-1.470652603,22,-0.426883723,3.00724742,-1.437622466,4,-6.131936374,3.506991457,-1.529827005,12,-2.695595971,3.199078131,-1.377134388,8,-0.977425769,2.779472734,-1.177205594,4,-6.131936374,3.506991457,-1.529827005,3,-0.309988115,3.024297773,-1.427039126,11,-0.058370129,3.024297773,-1.427039126,0,NA,,,11,-0.058370129,3.209034001,-1.803838402,3,-0.309988115,3.209034001,-1.803838402,0,NA,,
20150317,922,-1.323489392,3.34979785,-1.68844504,417,-1.330561966,3.372246254,-2.056954758,109,-1.418306502,3.360143501,-1.815374775,39,-1.8751327,3.147016133,-1.484557596,37,-1.799545808,2.962520682,-1.43223431,2,-3.273490213,3.55191848,-1.58449091,10,-2.449083843,3.207427418,-1.402381444,8,-2.24298225,2.740783671,-1.170063471,2,-3.273490213,3.55191848,-1.58449091,15,-0.956610182,3.001475712,-1.446954133,14,-2.449298869,3.001475712,-1.446954133,0,NA,,,14,-2.449298869,3.13481389,-1.765106917,15,-0.956610182,3.13481389,-1.765106917,0,NA,,
20150318,894,-2.046762994,3.355966993,-1.688431475,389,-1.836368345,3.377215356,-2.313594027,113,-1.885627773,3.367533308,-1.794392126,16,-3.485945716,3.155431811,-1.478665263,12,-3.240856189,3.002227025,-1.454799391,4,-4.221214297,3.484499237,-1.517996471,8,-4.397720337,3.169306687,-1.370378676,4,-4.574226377,2.727492872,-1.168263244,4,-4.221214297,3.484499237,-1.517996471,2,-0.813144438,3.102992353,-1.461285423,6,-3.161179981,3.102992353,-1.461285423,0,NA,,,6,-3.161179981,3.156069863,-1.834907612,2,-0.813144438,3.156069863,-1.834907612,0,NA,,
20150319,957,-1.823930631,3.353172128,-1.694996207,407,-1.983922833,3.364989812,-2.137900393,120,-1.819821952,3.360023828,-1.79710822,39,-2.794492951,3.117300378,-1.454939957,30,-2.19560985,2.96259149,-1.433061737,9,-4.790769954,3.449865835,-1.489197687,14,-4.22766072,3.159194087,-1.3525009,5,-3.214064097,2.739504044,-1.160233081,9,-4.790769954,3.449865835,-1.489197687,10,-2.93580729,2.972374669,-1.424036576,15,-1.36266014,2.972374669,-1.424036576,0,NA,,,15,-1.36266014,3.150182331,-1.801899469,10,-2.93580729,3.150182331,-1.801899469,0,NA,,
20150320,923,-1.768906595,3.35397959,-1.70484744,387,-1.987862968,3.36653567,-2.45028264,112,-1.484604395,3.37648058,-1.798827482,29,-3.924418109,3.101468725,-1.460988421,21,-3.732282534,2.958034727,-1.464210249,8,-4.428773996,3.391529431,-1.444147937,19,-5.071542309,3.129231779,-1.348940513,11,-5.539010172,2.739717699,-1.201350303,8,-4.428773996,3.391529431,-1.444147937,3,-0.849887145,2.965323814,-1.442598043,7,-2.128451411,2.965323814,-1.442598043,0,NA,,,7,-2.128451411,3.152215598,-1.841280667,3,-0.849887145,3.152215598,-1.841280667,0,NA,,
20150321,650,-1.737700993,3.351636523,-1.710749018,285,-1.724334381,3.36309638,-1.973662029,69,-1.457267486,3.370714302,-1.798651309,16,-2.85615733,3.13022838,-1.482932571,13,-2.117086917,3.001659581,-1.484679077,3,-6.058795785,3.40053332,-1.471099744,7,-4.483775284,3.136124191,-1.364410488,4,-3.302509908,2.739717699,-1.201350303,3,-6.058795785,3.40053332,-1.471099744,5,-1.523163216,2.981207669,-1.472567543,4,-1.674068551,2.981207669,-1.472567543,0,NA,,,4,-1.674068551,3.253153016,-1.841926358,5,-1.523163216,3.253153016,-1.841926358,0,NA,,
20150322,657,-1.901757664,3.340558175,-1.706824491,299,-2.064007203,3.347874603,-2.1917306,67,-1.215220777,3.364117178,-1.780058436,18,-3.150513856,3.113154972,-1.491575411,16,-3.111504153,2.985770711,-1.49887393,2,-3.462591479,3.386416252,-1.467551952,10,-3.874588331,3.117646052,-1.384105632,8,-3.977587544,2.735200662,-1.254334979,2,-3.462591479,3.386416252,-1.467551952,0,NA,2.961587833,-1.467097079,8,-2.245420761,2.961587833,-1.467097079,0,NA,,,8,-2.245420761,3.253153016,-1.841926358,0,NA,3.253153016,-1.841926358,0,NA,,
20150323,813,-1.894538435,3.33681124,-1.707213644,300,-1.718294495,3.348635049,-2.267605135,148,-2.291031457,3.355124452,-1.783832007,26,-3.320683686,3.083687819,-1.475622446,23,-3.016367771,2.955530183,-1.497817383,3,-5.653772371,3.355175257,-1.420296811,7,-4.286844908,3.099097159,-1.361779325,4,-3.261649311,2.72712491,-1.262048986,3,-5.653772371,3.355175257,-1.420296811,0,NA,2.892957446,-1.461064513,19,-2.964729552,2.892957446,-1.461064513,0,NA,,,19,-2.964729552,3.253153016,-1.841926358,0,NA,3.253153016,-1.841926358,0,NA,,
20150324,968,-2.270909977,3.320243705,-1.685878285,349,-2.076363755,3.33094133,-1.974697109,187,-2.490471028,3.337876723,-1.752197905,69,-2.921185552,3.048075183,-1.468986965,64,-2.835330738,2.904765796,-1.485285453,5,-4.020127175,3.3512955,-1.422203359,9,-3.447331553,3.096798962,-1.361316369,4,-2.731337026,2.699653049,-1.25031832,5,-4.020127175,3.3512955,-1.422203359,4,-3.454431418,2.835658078,-1.465244122,56,-2.798537383,2.835658078,-1.465244122,0,NA,,,56,-2.798537383,3.199438769,-1.804876413,4,-3.454431418,3.199438769,-1.804876413,0,NA,,
20150325,1123,-2.104715934,3.294044309,-1.666655106,467,-2.023842753,3.299418868,-2.236195504,178,-2.655911879,3.306583532,-1.734607188,72,-3.325003519,2.985249512,-1.409220009,66,-3.142323962,2.860860735,-1.414008035,6,-5.33447865,3.256309785,-1.388791202,8,-4.714198699,3.048393613,-1.341770989,2,-2.853358846,2.699653049,-1.25031832,6,-5.33447865,3.256309785,-1.388791202,4,-2.41043616,2.751672003,-1.320858247,60,-3.200748653,2.751672003,-1.320858247,0,NA,,,60,-3.200748653,3.199438769,-1.804876413,4,-2.41043616,3.199438769,-1.804876413,0,NA,,
20150326,1026,-2.072538454,3.281132564,-1.656448776,434,-1.782083789,3.294521017,-2.052023044,159,-2.5577271,3.283268438,-1.722606154,51,-3.25573439,2.980647522,-1.409086788,45,-2.966612138,2.877976843,-1.416320666,6,-5.424151281,3.210192573,-1.386431012,12,-4.355738606,3.024726277,-1.344384425,6,-3.287325931,2.715195884,-1.26426856,6,-5.424151281,3.210192573,-1.386431012,9,-2.373044291,2.787161739,-1.335115873,30,-3.080539734,2.787161739,-1.335115873,0,NA,,,30,-3.080539734,3.188517066,-1.7582509,9,-2.373044291,3.188517066,-1.7582509,0,NA,,
20150327,944,-2.202708101,3.297440115,-1.65734157,372,-2.132873269,3.310771408,-2.175596741,139,-2.219160254,3.307825323,-1.717444267,39,-4.892857159,2.985230034,-1.436530978,26,-4.223702911,2.838609361,-1.397071444,13,-6.231165655,3.286683489,-1.507857784,23,-5.487161827,3.059870313,-1.413383285,10,-4.51995685,2.646641255,-1.23657701,13,-6.231165655,3.286683489,-1.507857784,9,-4.002023565,2.779025108,-1.330596216,7,-4.0854993,2.779025108,-1.330596216,0,NA,,,7,-4.0854993,3.122302711,-1.714502843,9,-4.002023565,3.122302711,-1.714502843,0,NA,,
20150328,640,-1.434443547,3.302295396,-1.671964689,308,-1.243401168,3.320218047,-1.91597189,61,-2.555455289,3.308153839,-1.738583674,13,-2.128213562,2.991927766,-1.429379244,12,-1.870491064,2.850775825,-1.384063274,1,-5.220883534,3.288860161,-1.517049181,4,-2.187068411,3.059176317,-1.415867769,3,-1.175796703,2.645430091,-1.231222298,1,-5.220883534,3.288860161,-1.517049181,3,-1.747327559,2.812294709,-1.313323151,6,-2.279419998,2.812294709,-1.313323151,0,NA,,,6,-2.279419998,3.114287131,-1.710232608,3,-1.747327559,3.114287131,-1.710232608,0,NA,,
20150329,525,-1.557442869,3.297529678,-1.677011389,285,-1.523411789,3.31417,-1.86134843,57,-1.602912502,3.302723507,-1.735734365,31,-1.716036909,3.002655069,-1.459595836,29,-1.516739812,2.872071936,-1.427876085,2,-4.605844816,3.280526547,-1.518435042,7,-2.726573769,3.05447091,-1.416725592,5,-1.97486535,2.645430091,-1.231222298,2,-4.605844816,3.280526547,-1.518435042,8,-1.97486535,2.860705334,-1.40425733,16,-1.144512813,2.860705334,-1.40425733,0,NA,,,16,-1.144512813,3.114287131,-1.710232608,8,-1.97486535,3.114287131,-1.710232608,0,NA,,
20150330,816,-1.577869559,3.294256109,-1.685825322,353,-1.499800172,3.310936312,-1.891957485,116,-1.473203158,3.299983921,-1.742675702,30,-3.433999976,2.997462809,-1.449078032,29,-3.303237657,2.870133501,-1.414211753,1,-7.226107226,3.280526547,-1.518435042,9,-5.429111147,3.05024504,-1.398626075,8,-5.204486637,2.664858964,-1.204586082,1,-7.226107226,3.280526547,-1.518435042,7,-1.976381634,2.857824982,-1.417109464,14,-2.88023768,2.857824982,-1.417109464,0,NA,,,14,-2.88023768,3.099451263,-1.670145543,7,-1.976381634,3.099451263,-1.670145543,0,NA,,
20150331,971,-1.760645631,3.288317357,-1.688762337,415,-1.64579755,3.305854214,-2.089348922,107,-1.339333751,3.287859313,-1.745674516,47,-2.532778451,3.044676918,-1.432085031,40,-2.171179654,2.95866755,-1.405058365,7,-4.599057291,3.252371126,-1.494295974,22,-2.952973487,3.073302677,-1.388154411,15,-2.184801045,2.809347561,-1.239627534,7,-4.599057291,3.252371126,-1.494295974,12,-1.234092714,2.856685357,-1.401126712,13,-3.020465993,2.856685357,-1.401126712,0,NA,,,13,-3.020465993,3.267243198,-1.598406187,12,-1.234092714,3.267243198,-1.598406187,0,NA,,
20150401,917,-1.355672405,3.024137709,-2.229620269,386,-1.733079224,2.988682518,-3.236700704,122,-1.182342894,2.916920811,-2.248741176,34,-2.747395749,3.864752213,-1.724347753,32,-2.618167323,3.494973698,-1.696917646,2,-4.815050571,5.453782462,-1.782949703,12,-3.589435628,4.354786415,-1.670224645,10,-3.34431264,2.994348876,-1.431845784,2,-4.815050571,5.453782462,-1.782949703,3,-2.862189309,3.742976951,-1.855578399,19,-2.19745579,3.742976951,-1.855578399,0,NA,,,19,-2.19745579,3.581833355,-1.614117959,3,-2.862189309,3.581833355,-1.614117959,0,NA,,
