Date,Score
1/1980,-0.30722760783685754
2/1980,-0.2530744472915719
3/1980,-0.2711181408820948
4/1980,-0.19809566400027967
5/1980,-0.21853921006279556
6/1980,-0.14331346562618874
7/1980,-0.07453183994676248
8/1980,-0.06948797894410647
9/1980,-0.07267233311810278
10/1980,-0.10926201178733475
11/1980,-0.040501519352393635
12/1980,-0.005373574062222716
1/1981,-0.06027528515722737
2/1981,0.013138803017924377
3/1981,0.0036234525658078902
4/1981,0.0057956768825061485
5/1981,0.00245090689513931
6/1981,0.012125151731098918
7/1981,-0.024694252469258913
8/1981,-0.05975730042732054
9/1981,-0.052938097045473996
10/1981,-0.05761667801701324
11/1981,-0.05066869019223172
12/1981,-0.057718967403049826
1/1982,-0.057576170521370776
2/1982,-0.05876524041908082
3/1982,-0.05176376799936082
4/1982,-0.04016308293208363
5/1982,-0.04153273861017857
6/1982,-0.049520463457049996
7/1982,-0.08446070858536019
8/1982,-0.1725223092849516
9/1982,-0.16687419534896866
10/1982,-0.16210378359712616
11/1982,-0.1404132104817437
12/1982,-0.15316084477935446
1/1983,-0.20093907000421882
2/1983,-0.20633091905234724
3/1983,-0.20693580555452118
4/1983,-0.1771263245328578
5/1983,-0.17288041029550033
6/1983,-0.16858845719379256
7/1983,-0.16498420022108798
8/1983,-0.10459682827830687
9/1983,-0.11033609724104429
10/1983,-0.10827308188121211
11/1983,-0.12233621381067677
12/1983,-0.10450570939115748
1/1984,-0.10159630472517832
2/1984,-0.10915895739419233
3/1984,-0.12912448508795205
4/1984,-0.09940140692649835
5/1984,-0.08303163048897598
6/1984,-0.07250122319602628
7/1984,-0.06958209844241298
8/1984,-0.020926113742621787
9/1984,-0.007351411082804399
10/1984,-0.018935668624068747
11/1984,-0.007201954076465923
12/1984,-0.006140764895818541
1/1985,-0.03079140956054104
2/1985,-0.020602343434294724
3/1985,-0.022805312961477402
4/1985,-0.028759831990083935
5/1985,-0.028594754145314965
6/1985,-0.028289668893826107
7/1985,-0.020613889039085124
8/1985,-0.02042749253518138
9/1985,-0.025648337835233653
10/1985,-0.02191707210681755
11/1985,-0.0097693373365025
12/1985,-0.006881452269898523
1/1986,0.01797712149516181
